label,message
spam,Congratulations! You won a free iPhone.
ham,"Hi, how are you doing today?"
spam,Claim your cash prize now.
ham,Let's meet tomorrow at college.
spam,You have won a lottery. Call now.
ham,Please submit your assignment today.
spam,Free entry in a lucky draw.
ham,Can you send me the notes?
spam,Urgent! Your account has won rewards.
ham,Happy Birthday! Have a great day.
spam,Click here to win money.
ham,Your meeting is scheduled at 2 PM.
spam,Exclusive offer! Buy one get one free.
ham,Dinner at 8 PM tonight?
spam,You are selected for a cash reward.
ham,Project presentation is tomorrow.
spam,Get free recharge by clicking this link.
ham,Good morning! Have a nice day.
spam,Limited time offer. Win exciting prizes.
ham,Thank you for your help.
